我爱爸爸和妈妈。|ฉันรักพ่อกับแม่
我们八点半去上学吧。|พวกเราไปโรงเรียนตอนแปดโมงครึ่งกันเถอะ
他白天工作，晚上学习。|เขาทำงานตอนกลางวันและเรียนตอนกลางคืน
这本书一百元。|หนังสือเล่มนี้ราคาหนึ่งร้อยหยวน
早饭我吃包子，喝牛奶。|มื้อเช้าฉันกินซาลาเปาและดื่มนม
杯子里有一点儿水。|ในแก้วมีน้ำอยู่เล็กน้อย
学校旁边有一个商店。|ข้างโรงเรียนมีร้านค้าอยู่ร้านหนึ่ง
他的病好了。|เขาหายป่วยแล้ว
我不喝茶。|ฉันไม่ดื่มชา
谢谢您！不客气。|ขอบคุณครับ! ด้วยความยินดี
不要在这里说话。|อย่าพูดคุยที่นี่
妈妈做的菜非常好吃。|กับข้าวที่แม่ทำอร่อยมาก
姐姐喜欢唱中文歌。|พี่สาวชอบร้องเพลงภาษาจีน
我去超市买水果。|ฉันไปซูเปอร์มาร์เก็ตซื้อผลไม้
这辆车太贵了。|รถคันนี้แพงเกินไปแล้ว
我们坐出租车去医院看病。|พวกเรานั่งแท็กซี่ไปหาหมอที่โรงพยาบาล
妹妹今天穿了一件新衣服。|วันนี้น้องสาวสวมเสื้อผ้าใหม่หนึ่งตัว
我给哥哥打电话。|ฉันโทรหาพี่ชาย
这个房间很大。|ห้องนี้ใหญ่มาก
大家都认识那位老师。|ทุกคนรู้จักครูท่านนั้น
我的大学在中国。|มหาวิทยาลัยของฉันอยู่ในประเทศจีน
她的儿子是大学生。|ลูกชายของเธอเป็นนักศึกษา
我们九点到公司。|พวกเราไปถึงบริษัทตอนเก้าโมง
这是我的第一本汉语书。|นี่คือหนังสือภาษาจีนเล่มแรกของฉัน
弟弟正在看电视。|น้องชายกำลังดูโทรทัศน์อยู่
这家店卖电脑和手机。|ร้านนี้ขายคอมพิวเตอร์และโทรศัพท์มือถือ
请问，你的电话号码是多少？|ขอถามหน่อย หมายเลขโทรศัพท์ของคุณคืออะไร
我和朋友去电影院看电影。|ฉันกับเพื่อนไปดูภาพยนตร์ที่โรงภาพยนตร์
桌子上有很多东西。|บนโต๊ะมีสิ่งของมากมาย
请读一下这些汉字。|กรุณาอ่านตัวอักษรจีนเหล่านี้หน่อย
孩子们在家读书。|เด็ก ๆ อ่านหนังสืออยู่ที่บ้าน
对，你说得很好。|ถูกต้อง คุณพูดได้ดีมาก
对不起，我来晚了。没关系。|ขอโทษ ฉันมาสาย ไม่เป็นไร
我买了二十个鸡蛋。|ฉันซื้อไข่ไก่มายี่สิบฟอง
这家饭店的饭很好吃。|อาหารของร้านนี้อร่อยมาก
我们明天坐飞机回家。|พรุ่งนี้พวกเราจะนั่งเครื่องบินกลับบ้าน
现在是三点十分。|ตอนนี้เป็นเวลาสามโมงสิบนาที
请等我五分钟。|กรุณารอฉันห้านาที
很高兴见到你。|ดีใจมากที่ได้พบคุณ
我家有两只狗和一只猫。|บ้านฉันมีสุนัขสองตัวและแมวหนึ่งตัว
我想去外国学习。|ฉันอยากไปเรียนต่างประเทศ
他还没有起床。|เขายังไม่ได้ลุกจากเตียง
这件衣服很好看。|เสื้อผ้าตัวนี้ดูดีมาก
这首歌真好听。|เพลงนี้ไพเราะจริง ๆ
这个游戏很好玩儿。|เกมนี้สนุกมาก
今天是六月七号。|วันนี้คือวันที่เจ็ดเดือนมิถุนายน
上课后，我去书店。|หลังเลิกคาบเรียนฉันไปร้านหนังสือ
我会开车，也会做饭。|ฉันขับรถเป็นและทำอาหารเป็นด้วย
火车什么时候来？|รถไฟจะมาเมื่อไร
你家有几口人？|ครอบครัวของคุณมีกี่คน
周末我和家人一起吃饺子。|วันหยุดสุดสัปดาห์ฉันกินเกี๊ยวกับครอบครัว
你叫什么名字？|คุณชื่ออะไร
我今年十八岁。|ปีนี้ฉันอายุสิบแปดปี
我觉得这本书很有意思。|ฉันคิดว่าหนังสือเล่มนี้น่าสนใจมาก
请开一下门。|กรุณาเปิดประตูหน่อย
你看见我的书了吗？|คุณเห็นหนังสือของฉันไหม
